time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-31T18:49:01.620Z,35.6009,-97.276,5,3.1,mb_lg,,36,0.041,0.79,us,usc000s8j3,2014-09-01T15:14:38.049Z,"4km NNE of Jones, Oklahoma",earthquake
2014-08-31T18:00:46.060Z,27.476,142.6829,45.09,4.6,mb,,162,0.583,0.99,us,usc000s8im,2014-09-01T02:20:25.041Z,"63km NE of Chichi-shima, Japan",earthquake
2014-08-31T17:54:38.320Z,-11.8497,166.6549,121.24,5,mb,,118,3.615,0.55,us,usc000s8ik,2014-09-01T02:20:28.803Z,"154km SE of Lata, Solomon Islands",earthquake
2014-08-31T16:57:17.220Z,36.6038,-97.9613,3.89,3.4,mb_lg,,87,0.1,0.44,us,usc000s8i7,2014-09-01T13:33:41.194Z,"24km NNW of Enid, Oklahoma",earthquake
2014-08-31T16:49:22.000Z,56.5047,-156.9366,38.3,2.8,ml,,,,0.91,ak,ak11374530,2014-09-01T00:51:54.901Z,"111km NW of Chirikof Island, Alaska",earthquake
2014-08-31T16:15:49.670Z,-62.6753,165.3626,10,4.9,mb,,120,14.96,0.57,us,usc000s8i2,2014-09-01T00:18:31.679Z,"Balleny Islands region",earthquake
2014-08-31T16:12:34.850Z,64.6494,-17.5174,7.76,4.7,mb,,34,1.639,0.55,us,usc000s8hy,2014-09-01T00:15:51.908Z,"118km SSE of Akureyri, Iceland",earthquake
2014-08-31T15:33:49.000Z,65.15,-148.9162,20,2.5,ml,,,,0.53,ak,ak11374299,2014-08-31T23:36:25.387Z,"54km NW of Ester, Alaska",earthquake
2014-08-31T15:07:18.850Z,33.6031,45.7411,10,4.5,mb,,54,5.178,0.73,us,usc000s8hn,2014-08-31T23:15:45.895Z,"23km SE of Mandali, Iraq",earthquake
2014-08-31T14:44:34.250Z,33.6534,45.7891,10,5,mb,,70,5.148,0.7,us,usc000s8hi,2014-08-31T22:47:13.237Z,"24km ESE of Mandali, Iraq",earthquake
2014-08-31T14:39:20.540Z,-38.9183,175.015,222.44,4.4,mb,,50,0.423,0.72,us,usc000s8he,2014-08-31T22:45:22.741Z,"66km E of Waitara, New Zealand",earthquake
2014-08-31T13:55:04.410Z,13.0143,-88.6635,77.46,4.6,mb,,70,0.867,0.83,us,usc000s8h6,2014-08-31T21:57:32.428Z,"32km SSW of Puerto El Triunfo, El Salvador",earthquake
2014-08-31T13:48:47.120Z,12.1483,-87.8625,46.86,4.7,mb,,98,0.977,0.87,us,usc000s8h5,2014-08-31T21:51:15.661Z,"79km SW of Jiquilillo, Nicaragua",earthquake
2014-08-31T13:37:30.900Z,38.2485,-122.1648,0.6,2.5,Md,28,104.4,0.12576414,0.16,nc,nc72288666,2014-09-01T20:41:38.783Z,"0km SSW of Green Valley, California",earthquake
2014-08-31T12:40:58.000Z,66.4383,-155.0681,15.1,2.7,ml,,,,1.12,ak,ak11373890,2014-08-31T17:56:38.600Z,"95km ESE of Kobuk, Alaska",earthquake
2014-08-31T12:30:13.000Z,51.9942,178.1712,145.8,2.7,ml,,,,0.46,ak,ak11373868,2014-08-31T20:32:39.471Z,"23km WNW of Little Sitkin Island, Alaska",earthquake
2014-08-31T12:24:58.000Z,65.1541,-149.0483,16.3,4.2,ml,,,,0.93,ak,ak11373819,2014-09-02T07:36:21.123Z,"59km NW of Ester, Alaska",earthquake
2014-08-31T12:01:47.960Z,64.7232,-17.3895,7.45,5.1,mb,,96,1.689,0.98,us,usc000s8gd,2014-08-31T20:04:15.908Z,"111km SSE of Akureyri, Iceland",earthquake
2014-08-31T11:48:24.490Z,36.5689,70.9664,200.19,5.1,mb,,36,0.637,1.11,us,usc000s8gb,2014-08-31T14:16:51.615Z,"34km SSE of Jarm, Afghanistan",earthquake
2014-08-31T11:06:45.000Z,-33.388,-70.53,95.6,4.2,mb,,,,0.65,us,usc000s8g6,2014-08-31T21:09:45.021Z,"9km NNE of Villa Presidente Frei, Nunoa, Santiago, Chile, Chile",earthquake
2014-08-31T10:30:36.400Z,18.961,-66.3629,36,2.9,Md,16,237.6,0.50664982,0.14,pr,pr14243003,2014-08-31T18:33:17.510Z,"54km N of Brenas, Puerto Rico",earthquake
2014-08-31T10:20:50.280Z,37.0701,-104.9379,5.35,2.7,ml,,86,0.427,1.01,us,usc000s8fs,2014-08-31T18:23:54.725Z,"40km WSW of Trinidad, Colorado",earthquake
